title,가고싶다,평점,감성점수,맛있다,가격,웨이팅,서비스,분위기,표준화_감성점수,맛있다,가격,웨이팅,서비스,분위기,가고싶다,평점,감성*맛+0.5*평점+0.5*가고싶다수,가격,웨이팅,서비스,분위기
남양수산,5916,4.6,0.67,4.815,0,2.7876,0,0.8298,-0.18,0.48,-0.58,0.79,-0.72,-0.13,1.6,-0.18,0.6236,0.8144,0.5678,0.8396,0.7334
남양수산,5916,4.6,0.62,5.4795,0,0.9051,2.703,2.527,-0.24,0.69,-0.58,-0.15,0.65,0.98,1.6,-0.24,0.5144,0.8192,0.716,0.524,0.4448
남양수산,5916,4.6,0.5,3,0,1.8542,0.8301,0.8298,-0.39,-0.09,-0.58,0.32,-0.3,-0.13,1.6,-0.39,0.6401,0.8312,0.4802,0.722,0.6557
남양수산,5916,4.6,0,0.9069,0,1.6792,0,2.648,-1.01,-0.75,-0.58,0.24,-0.72,1.06,1.6,-1.01,1.0525,0.8808,0.0526,1.0222,-0.7756
남양수산,5916,4.6,0.57,4.7322,0,1.9125,0.8096,0,-0.3,0.45,-0.58,0.35,-0.31,-0.67,1.6,-0.3,0.515,0.824,0.545,0.743,0.851
남양수산,5916,4.6,1,8.3688,1.8513,0,0.8095,0,0.23,1.6,1.24,-0.6,-0.31,-0.67,1.6,0.23,1.283,1.2002,0.777,0.8437,0.7609
남양수산,5916,4.6,0.5,5.381,0.8203,0.932,0.8532,0.8895,-0.39,0.66,0.23,-0.14,-0.29,-0.09,1.6,-0.39,0.3476,0.5153,0.6596,0.7181,0.6401
남양수산,5916,4.6,1.5,1,0,0,0,0,0.85,-0.72,-0.58,-0.6,-0.72,-0.67,1.6,0.85,0.613,0.732,0.715,0.613,0.6555
남양수산,5916,4.6,0.14,4.6331,0,0,0.8301,0,-0.83,0.42,-0.58,-0.6,-0.3,-0.67,1.6,-0.83,0.0364,0.8664,0.883,0.634,0.9411
남양수산,5916,4.6,0,0,0,0,0,0,-1.01,-1.03,-0.58,-0.6,-0.72,-0.67,1.6,-1.01,1.3353,0.8808,0.901,1.0222,0.9717
남양수산,5916,4.6,0.4,9.9433,1.8863,0.8292,3.3641,1.7659,-0.51,2.09,1.28,-0.19,0.98,0.48,1.6,-0.51,-0.5209,-0.1078,0.6419,0.0452,0.3002
남양수산,5916,4.6,1.2,4.2867,1.8056,6.5638,2.4862,1.6893,0.48,0.31,1.2,2.67,0.54,0.43,1.6,0.48,1.1888,1.616,2.3216,1.2992,1.2464
남양수산,5916,4.6,0.92,3.4604,1.919,0,3.4115,2.6281,0.13,0.06,1.31,-0.6,1.01,1.05,1.6,0.13,0.8728,1.0353,0.787,0.9963,1.0015
남양수산,5916,4.6,1.38,3.7594,0,0,0,0.8491,0.71,0.15,-0.58,-0.6,-0.72,-0.12,1.6,0.71,1.2615,0.7432,0.729,0.6438,1.0698
남양수산,5916,4.6,0.43,3.4486,1,0,1.6818,0.8895,-0.47,0.05,0.41,-0.6,0.13,-0.09,1.6,-0.47,0.5415,0.3723,0.847,0.5039,0.6073
남양수산,5916,4.6,1,3.5493,1,0,0.8532,1.7386,0.23,0.08,0.41,-0.6,-0.29,0.46,1.6,0.23,0.9334,1.0093,0.777,0.8483,1.0208
남양수산,5916,4.6,1.2,4.4104,1.9195,0.9307,0.8784,0,0.48,0.35,1.31,-0.14,-0.27,-0.67,1.6,0.48,1.208,1.6688,0.9728,0.9104,0.7184
